Description,Part Number,Vendor,Link,Qty per assy,Price,Shipping + Tax,Total Cost,Notes
,,,,,,,,
Aspheric F/2 220 degree Fish Eye Lens,DS13F117M12,DayOptics Inc.,,2.00,$70.00,$50.00,$190.00,
5mp USB camera,ELP-USB500W05G,ELP CCTV,http://www.elpcctv.com/mi5100-5mp-usb-camera-module-usb20-aptina-125inch-color-cmos-sensor-100degree-lens-p-221.html,2.00,$48.00,$30.00,$126.00,
Delrin base,# 06791149,MSC Industrial Direct,https://www.mscdirect.com/webapp/wcs/stores/servlet/product/details/06791149,1.00,$15.32,,$15.32,Shipping included in line 7
"1/4""-20 camera mount thread insert",# 85595304,MSC Industrial Direct,https://www.mscdirect.com/webapp/wcs/stores/servlet/product/details/85595304,1.00,$10.16,,$10.16,"Shipping included in line 7
"
Zip tie,#61651329,MSC Industrial Direct,https://www.mscdirect.com/product/details/61651329,2,$4,,$8.00,"MQO is 100, Shipping included in line 7"
2-56 M/F Standoff,# 84261601,MSC Industrial Direct,https://www.mscdirect.com/product/details/84261601,4.00,0.51,,$2.04,Shipping included in line 7
2-56 screw,# 67570648,MSC Industrial Direct,https://www.mscdirect.com/product/details/67570648,4.00,$4.34,,$4.34,"MQO is 100, Shipping included in line 7"
2-56 nut,# 87925509,MSC Industrial Direct,https://www.mscdirect.com/product/details/87925509?item=87925509&fromRR=Y,4.00,$5.47,$13.54,$19.01,MQO is 100
Table top tripod,,Amazon,http://www.amazon.com/Vanguard-VS41-Flexible-MiniTripod-Camera/dp/B00009RUCH/ref=sr_1_2?s=photo&ie=UTF8&qid=1460594944&sr=1-2&keywords=tripod,1.00,$5.30,,$5.30,
,,,,,,,,
Total,,,,,,,$380.17,