Description,Part Number,Vendor,Link,Qty per assy,Price,Shipping + Tax (To or within USA),Total Cost,Notes
,,,,,,,,
5mp USB camera (Includes Fish eye lens),ELP-USB500W05G-L180,ELP CCTV,http://www.aliexpress.com/item/5Megapixel-High-resolution-Aptina-MI5100-CMOS-Sensor-180degree-wide-angle-fisheye-lens-usb2-0-high-speed/32482034859.html,2.00,$56.98,$31.39,$145.35,
Delrin base,# 06791149,MSC Industrial Direct,https://www.mscdirect.com/webapp/wcs/stores/servlet/product/details/06791149,1.00,$15.32,,$15.32,Shipping included in line 7
"1/4""-20 camera mount thread insert",# 85595304,MSC Industrial Direct,https://www.mscdirect.com/webapp/wcs/stores/servlet/product/details/85595304,1.00,$10.16,,$10.16,"Shipping included in line 7
"
Zip tie,#61651329,MSC Industrial Direct,https://www.mscdirect.com/product/details/61651329,2,$4.00,,$4.00,"MQO is 100, Shipping included in line 7"
2-56 M/F Standoff,# 84261601,MSC Industrial Direct,https://www.mscdirect.com/product/details/84261601,4.00,$0.51,,$2.04,Shipping included in line 7
2-56 screw,# 67570648,MSC Industrial Direct,https://www.mscdirect.com/product/details/67570648,4.00,$4.34,,$4.34,"MQO is 100, Shipping included in line 7"
2-56 nut,# 87925509,MSC Industrial Direct,https://www.mscdirect.com/product/details/87925509?item=87925509&fromRR=Y,4.00,$5.47,$13.54,$19.01,MQO is 100
Table top tripod,,Amazon,http://www.amazon.com/Vanguard-VS41-Flexible-MiniTripod-Camera/dp/B00009RUCH/ref=sr_1_2?s=photo&ie=UTF8&qid=1460594944&sr=1-2&keywords=tripod,1.00,$5.30,,$5.30,
,,,,,,,,
Total without shipping,,,,,$160.59,,,
Total shipping cost,,,,,,$44.93,,
Total with shipping,,,,,,,$205.52,